Match_addr,x,IN_City,score,IN_Address,IN_Postal,Subregion,y,Postal,PostalExt,ResultID,City
"13245 Los Angeles St, Baldwin Park, California, 91706",-117.98235481500,Baldwin Park,100,13245 Los Angeles St,91706,Los Angeles County,34.09221317340,91706,,99,Baldwin Park
"15010 Don Julian Rd, La Puente, California, 91746",-117.97258939500,City Of Industry,100,15010 Don Julian Rd,91746,Los Angeles County,34.02357049940,91746,3301,556,La Puente
"2011 E Carson St, Long Beach, California, 90810",-118.23706802800,Carson,100,2011 E Carson St,90810,Los Angeles County,33.83176749280,90810,1223,264,Long Beach
"23601 S Wilmington Ave, Carson, California, 90745",-118.25394537700,Carson,100,23601 S Wilmington Ave,90745,Los Angeles County,33.81037337580,90745,,306,Carson
"22560 Lucerne St, Carson, California, 90745",-118.25059248100,Carson,100,22560 Lucerne St,90745,Los Angeles County,33.82193799310,90745,4303,296,Carson
"13285 E Temple Ave, La Puente, California, 91746",-117.98958138600,City Of Industry,100,13285 E Temple Ave,91746,Los Angeles County,34.05586047910,91746,1519,521,La Puente
"14100 Vine Pl, Cerritos, California, 90703",-118.03124670800,Cerritos,100,14100 Vine Pl,90703,Los Angeles County,33.87568657000,90703,2416,345,Cerritos
"2320 E Dominguez St, Long Beach, California, 90810",-118.22747703600,Carson,100,2320 E Dominguez St,90810,Los Angeles County,33.83917252710,90810,,304,Long Beach
"18012 Slover Ave, Bloomington, California, 92316",-117.41144821900,Bloomington,100,18012 Slover Ave,92316,San Bernardino County,34.06317193250,92316,2369,131,Bloomington
"17009 Green Dr, Hacienda Heights, California, 91745",-117.93673417900,City Of Industry,99,17009 E Green Dr,91745,Los Angeles County,34.00256840360,91745,1825,586,Hacienda Heights
"111 N Baldwin Park Blvd, La Puente, California, 91746",-117.99698927800,City of Industry,100,111 N Baldwin Park Blvd,91746,Los Angeles County,34.05186028090,91746,1402,508,La Puente
"13060 E Temple Ave, La Puente, California, 91746",-117.99751957600,City of Industry,100,13060 E Temple Ave,91746,Los Angeles County,34.05809205960,91746,,514,La Puente
"330 Resource Dr, Bloomington, California, 92316",-117.37441948500,Bloomington,100,330 Resource Dr,92316,San Bernardino County,34.04113167620,92316,3528,137,Bloomington
